title,release_date,genres,overview,spoken_languages
Blue Beetle,2023-08-16,"Action, Science Fiction, Adventure","Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.","English, Portuguese, Spanish"
Gran Turismo,2023-08-09,"Action, Drama, Adventure",The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,"English, German, Japanese"
The Nun II,2023-09-06,"Horror, Mystery, Thriller","In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.","English, French"
Meg 2: The Trench,2023-08-02,"Action, Science Fiction, Horror",An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,English
Retribution,2023-08-23,"Action, Mystery, Thriller, Crime","When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.","English, German"
Talk to Me,2023-07-26,"Horror, Thriller","When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",English
Fast X,2023-05-17,"Action, Crime, Thriller","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",English
Sound of Freedom,2023-07-03,"Action, Drama","The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.","English, Spanish"
Barbie,2023-07-19,"Comedy, Adventure, Fantasy","Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",English
Elemental,2023-06-14,"Animation, Comedy, Family, Fantasy, Romance","In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",English
Operation Napoleon,2023-01-26,Thriller,"A modern-day lawyer is sucked into an international conspiracy after being accused of a murder she didn't commit. Her only chance of freedom lies in uncovering the secret of an old German WWII aeroplane, long buried deep beneath the ice, before the CIA.","English, Icelandic"
No One Will Save You,2023-09-22,"Horror, Science Fiction, Thriller",An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,English
Saw X,2023-09-26,"Crime, Horror, Thriller","Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.","English, Spanish"
Carl's Date,2023-06-15,"Animation, Adventure, Family","Carl Fredricksen reluctantly agrees to go on a date with a lady friend—but admittedly has no idea how dating works these days. Ever the helpful friend, Dug steps in to calm Carl's pre-date jitters and offer some tried-and-true tips for making friends—if you're a dog.",English
The Black Book,2023-09-22,"Mystery, Thriller, Action","After his son is wrongly accused of kidnapping, a deacon who has just lost his wife takes matters into his own hands and fights a crooked police gang to clear him.",English
Let Her Kill You,2023-03-08,"Thriller, Mystery","Alone in the mountains of Switzerland, Anne discovers that her isolated chalet is on surveillance and has been bugged. Caught up by her former life as an intelligence secret agent and an affair with her handler, Anne can only count on herself to get out alive.",French
Kandahar,2023-05-25,"Action, Thriller","After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.",English
Transformers: Rise of the Beasts,2023-06-06,"Action, Adventure, Science Fiction","When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.","Quechua, Spanish, English"
Spy Kids: Armageddon,2023-09-22,"Family, Comedy, Action, Adventure","When the children of the world’s greatest secret agents unwittingly help a powerful game developer unleash a computer virus that gives him control of all technology, they must become spies themselves to save their parents and the world.",English
Indiana Jones and the Dial of Destiny,2023-06-28,"Adventure, Action","Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",English
Til Death Do Us Part,2023-08-03,"Horror, Thriller, Action","After bailing on her wedding, a former bride-to-be must fight off her ex-groom and seven angry killer groomsmen in order to survive the night.",English
Spider-Man: Across the Spider-Verse,2023-05-31,"Animation, Action, Adventure","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.","English, Hindi, Italian, Spanish"
The Creator,2023-09-27,"Science Fiction, Action, Thriller","Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.","English, Japanese, Thai, Vietnamese"
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023-07-31,"Animation, Comedy, Action","After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.","English, Mandarin"
Expend4bles,2023-09-15,"Action, Adventure, Thriller","Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",English
John Wick: Chapter 4,2023-03-22,"Action, Thriller, Crime","With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.","Arabic, Cantonese, English, French, German, Japanese, Latin, Russian, Spanish"
The Flash,2023-06-13,"Action, Adventure, Science Fiction","When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?","English, Spanish, Russian"
After Everything,2023-09-13,"Romance, Drama","Besieged by writer’s block and the crushing breakup with Tessa, Hardin travels to Portugal in search of a woman he wronged in the past – and to find himself. Hoping to win back Tessa, he realizes he needs to change his ways before he can make the ultimate commitment.","English, Portuguese"
Oppenheimer,2023-07-19,"Drama, History",The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.,"Dutch, English"
Freestyle,2023-09-13,"Crime, Action, Thriller","Trying to check out a recording from his debut album, a street rapper and his friend run into trouble when a major drug deal turns into a total disaster for them.",Polish
Strays,2023-08-17,"Comedy, Adventure","When Reggie is abandoned on the mean city streets by his lowlife owner, Doug, Reggie is certain that his beloved owner would never leave him on purpose. But once Reggie falls in with Bug, a fast-talking, foul-mouthed stray who loves his freedom and believes that owners are for suckers, Reggie finally realizes he was in a toxic relationship and begins to see Doug for the heartless sleazeball that he is.",English
"Scooby-Doo! And Krypto, Too!",2023-09-26,"Animation, Family, Mystery, Fantasy, Comedy","When the Justice League goes missing and villains overrun Metropolis, there's only one team that can solve this mystery: Scooby-Doo and the gang! But wait, there's a new dog in town – Krypto – Superman's Superdog with Super Powers. Mystery Inc. will need all the help it can get when phantoms menace the Justice League's headquarters.",English
The Super Mario Bros. Movie,2023-04-05,"Animation, Family, Adventure, Fantasy, Comedy","While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",English
Mission: Impossible - Dead Reckoning Part One,2023-07-08,"Action, Thriller","Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.","French, English, Italian, Russian"
My Fault,2023-06-08,"Drama, Romance","Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",Spanish
The Equalizer 3,2023-08-30,"Action, Thriller, Crime","Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.","English, Italian"
