title,release_date,genres,overview,spoken_languages,max_pre_release,max_post_release,auc_pre_release,slope_7_days_pre_release,release_day_interest,stddev_interest_pre_release,trend_skew,peak_trend_day_position,auc_post_peak,auc_post_release,trends_slope_post_peak,trends_day_7_value
Blue Beetle,2023-08-16,"Action, Science Fiction, Adventure","Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.","English, Portuguese, Spanish",18.0,100.0,191.0,0.8571428571428571,34.0,3.6817870057290865,1.5836420963887448,3.0,696.5,913.5,-12.07142857142857,43.0
Gran Turismo,2023-08-09,"Action, Drama, Adventure",The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,"English, German, Japanese",26.0,100.0,330.5,1.7499999999999998,36.0,4.370588154508101,1.33122189539249,18.0,200.0,989.0,-17.499999999999996,33.0
The Nun II,2023-09-06,"Horror, Mystery, Thriller","In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.","English, French",9.0,100.0,42.0,0.9642857142857141,18.0,2.223355719986429,2.5697139800784456,2.0,462.5,556.5,-13.25,24.0
Meg 2: The Trench,2023-08-02,"Action, Science Fiction, Horror",An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,English,18.0,100.0,155.5,1.5357142857142856,29.0,4.081371873755452,1.9924069592637839,3.0,561.0,784.5,-11.821428571428573,32.0
Retribution,2023-08-23,"Action, Mystery, Thriller, Crime","When a mysterious caller puts a bomb under his car seat, Matt Turner begins a high-speed chase across the city to complete a specific series of tasks. With his kids trapped in the back seat and a bomb that will explode if they get out of the car, a normal commute becomes a twisted game of life or death as Matt follows the stranger's increasingly dangerous instructions in a race against time to save his family.","English, German",18.0,100.0,233.5,0.9642857142857143,25.0,2.158146513071364,2.3965196724015807,4.0,523.0,733.5,-9.428571428571427,30.0
Talk to Me,2023-07-26,"Horror, Thriller","When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",English,32.0,100.0,312.5,2.714285714285714,30.0,5.40638742075618,0.5251457394429168,3.0,1096.5,1287.5,-6.178571428571428,60.0
Fast X,2023-05-17,"Action, Crime, Thriller","Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",English,21.0,100.0,160.5,2.2142857142857135,36.0,5.116776905014681,1.6495905589199373,3.0,639.5,866.5,-11.678571428571425,37.0
Sound of Freedom,2023-07-03,"Action, Drama","The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.","English, Spanish",10.0,100.0,51.5,1.3214285714285712,19.0,2.4522653694445204,0.36519744216545896,13.0,570.0,1491.5,-4.285714285714286,97.0
Barbie,2023-07-19,"Comedy, Adventure, Fantasy","Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",English,38.0,100.0,352.0,3.0357142857142856,54.0,9.088379363548945,1.217952480434593,2.0,902.0,1052.0,-9.464285714285714,56.0
Elemental,2023-06-14,"Animation, Comedy, Family, Fantasy, Romance","In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",English,26.0,100.0,337.0,1.607142857142857,31.0,3.9388753761733746,0.3861409240071617,10.0,761.0,1508.5,-7.142857142857141,75.0
Operation Napoleon,2023-01-26,Thriller,"A modern-day lawyer is sucked into an international conspiracy after being accused of a murder she didn't commit. Her only chance of freedom lies in uncovering the secret of an old German WWII aeroplane, long buried deep beneath the ice, before the CIA.","English, Icelandic",,,,,,,,,,,,
No One Will Save You,2023-09-22,"Horror, Science Fiction, Thriller",An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,English,6.0,100.0,52.5,0.5357142857142857,40.0,1.785555548500255,2.009153394823094,1.0,643.5,713.5,-12.71428571428571,33.0
Saw X,2023-09-26,"Crime, Horror, Thriller","Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.","English, Spanish",16.0,100.0,164.0,1.1428571428571426,19.0,3.917516914514882,1.293335444174254,4.0,751.0,965.5,-10.178571428571427,50.0
Carl's Date,2023-06-15,"Animation, Adventure, Family","Carl Fredricksen reluctantly agrees to go on a date with a lady friend—but admittedly has no idea how dating works these days. Ever the helpful friend, Dug steps in to calm Carl's pre-date jitters and offer some tried-and-true tips for making friends—if you're a dog.",English,77.0,100.0,581.5,7.392857142857141,56.0,20.00385450385345,1.2645862564438464,1.0,645.5,723.5,-12.321428571428568,27.0
The Black Book,2023-09-22,"Mystery, Thriller, Action","After his son is wrongly accused of kidnapping, a deacon who has just lost his wife takes matters into his own hands and fights a crooked police gang to clear him.",English,28.0,100.0,481.0,0.24999999999999992,52.0,2.449489742783178,1.5800660591042972,2.0,918.0,1080.0,-7.464285714285712,58.0
Let Her Kill You,2023-03-08,"Thriller, Mystery","Alone in the mountains of Switzerland, Anne discovers that her isolated chalet is on surveillance and has been bugged. Caught up by her former life as an intelligence secret agent and an affair with her handler, Anne can only count on herself to get out alive.",French,0.0,100.0,0.0,0.0,0.0,0.0,6.326437348445771,14.0,50.0,100.0,-10.714285714285714,0.0
Kandahar,2023-05-25,"Action, Thriller","After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.",English,32.0,100.0,364.5,2.357142857142857,50.0,5.694409877667332,0.8353811880210863,21.0,0.0,1220.0,0.0,55.0
Transformers: Rise of the Beasts,2023-06-06,"Action, Adventure, Science Fiction","When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.","Quechua, Spanish, English",18.0,100.0,177.0,1.6785714285714284,28.0,3.3380918415851206,1.6938317001241776,4.0,636.5,897.5,-12.535714285714283,44.0
Spy Kids: Armageddon,2023-09-22,"Family, Comedy, Action, Adventure","When the children of the world’s greatest secret agents unwittingly help a powerful game developer unleash a computer virus that gives him control of all technology, they must become spies themselves to save their parents and the world.",English,7.0,100.0,60.0,0.7142857142857142,54.0,1.5088551921671296,2.5131677411522557,1.0,445.0,522.0,-12.642857142857139,24.0
